Gid,SE_T025_006,SE_T025_007,SE_T025_004,SE_T025_005,SE_T025_002,SE_T025_003,SE_T025_001,SE_T002_003,SE_T002_002,SE_T002_001,SE_T025_008,SE_T050_011,SE_T050_010,SE_T050_013,SE_T050_012,SE_T050_014,SE_T078_002,SE_T139_067,SE_T182_001,SE_T139_122,SE_T053_001,SE_T053_003,SE_T053_002,SE_T053_005,SE_T053_004,SE_T053_006,SE_T139_034,SE_T147_001,SE_T013_005,SE_T013_004,SE_T013_007,SE_T013_006,SE_T013_001,SE_T059_001,SE_T013_003,SE_T013_002,SE_T056_017,SE_T145_002,SE_T007_002,SE_T013_008,SE_T007_001,SE_T139_085,SE_T157_001,SE_T081_001,SE_T081_002,SE_T050_006,SE_T050_007,SE_T050_004,SE_T050_005,SE_T050_002,SE_T050_003,SE_T108_002,SE_T050_001,SE_T005_001,SE_T139_002,SE_T145_001,SE_T050_008,SE_T050_009,SE_T030_001,SE_T030_002,SE_T083_001,SE_T094_003,SE_T004_001,SE_T080_001,SE_T004_003,SE_T004_002,SE_T057_001,SE_T139_091,SE_T094_001,SE_T182_007,SE_T108_001,SE_T139_001,SE_T182_002,SE_T007_013,SE_T080_002,SE_T056_001,SE_T056_002,SE_T078_001
14000US36059412100,14.76,1.61,26.52,24.55,5.46,26.85,100.0,0.66109572708445,9570.475,6327,0.25,0,14.84,1.3,7.16,4.23,35.54,0,100.0,3.26,100.0,19.99,67.89,7.27,4.85,0,16.81,36,2.15,0.66,1.33,0,100.0,116377.786918963,0.25,94.58,16.74,4.75,3.6,1.03,100.0,0,0.4417,100.0,22.17,2.28,5.8,1.83,4.29,14.96,25.52,58.19,100.0,100.0,30.53,100.0,5.14,12.66,100.0,0.25,45926,25.42,100.0,100.0,49.03,50.97,84196,49.4,100.0,0.66,100.0,100.0,14.07,4.05,0.86,100.0,2.47,100.0
14000US24031700819,12.81,1.11,31.97,24.05,7.2,19.25,100.0,0.863490873316788,8507.328,7346,3.61,0,17.12,0,6.53,3.77,14.62,16.51,100.0,1.27,100.0,15.31,69.76,7.35,7.58,0,23.27,37,10.11,0,7.02,0,100.0,96592.1830700689,25.4,52.94,11.3,10.54,6.58,4.52,100.0,0,0.3749,100.0,10.69,3.33,11.02,2.05,0.71,18.8,17.89,94.56,100.0,100.0,3.07,100.0,4.43,14.35,100.0,0,33820,25.52,100.0,100.0,46.87,53.13,76455,55.88,100.0,0,100.0,100.0,0.57,0,4.41,100.0,3.89,100.0
14000US24031700818,17.28,0.35,32.28,18.28,13.91,17.49,100.0,0.85688427900052,8276.497,7092,0.42,0,16.54,0.96,11.59,3.89,9.45,24.31,100.0,2.36,100.0,17.66,68.96,9.02,4.37,0,22.09,34,11.11,2.3,10.67,0,100.0,68719.4001518603,38.89,32.49,1.14,20.08,7.87,4.54,100.0,0,0.3737,100.0,3.15,7.15,4.62,3.18,2.78,14.7,21.34,90.67,100.0,100.0,6.65,100.0,4.47,8.76,100.0,4.9,26304,80.87,100.0,100.0,50.17,49.83,58438,44.59,100.0,0,100.0,100.0,6.15,0,7.59,100.0,7.25,100.0
14000US22051024700,5.54,2.23,22.77,17.23,20.31,31.38,100.0,0.284740315399145,5970.353,1700,0.54,0,13.97,2.82,12.79,6.57,28.08,0,100.0,0,100.0,13.15,59.04,14.2,13.03,0.59,9.55,23,0.24,3.53,4.0,0,100.0,52804.979253112,25.18,62.24,1.66,18.81,5.59,4.82,100.0,0,0.4267,100.0,12.72,5.16,6.22,4.58,0.35,12.56,19.6,55.0,100.0,100.0,5.73,100.0,4.11,11.27,100.0,0,23783,47.44,100.0,100.0,49.35,50.65,39183,84.71,100.0,0,100.0,100.0,12.45,4.53,0.69,100.0,7.19,100.0
14000US24031700815,15.0,1.64,22.04,26.49,11.28,18.48,100.0,1.05865162309632,6551.73,6936,5.07,0,9.88,4.42,6.59,2.31,9.96,15.66,100.0,0,100.0,23.5,61.79,6.94,7.77,0,25.41,40,11.63,0,7.02,0,100.0,108142.95154185,25.01,47.62,12.25,10.06,9.1,8.71,100.0,2.04,0.4104,100.0,15.29,5.03,3.47,4.34,1.47,30.61,22.28,88.18,100.0,100.0,2.51,100.0,2.31,7.28,100.0,0,35889,19.47,100.0,100.0,52.32,47.68,80179,54.38,100.0,0,100.0,100.0,5.81,0.26,0.53,100.0,5.99,100.0
14000US12057002000,1.76,0.24,32.34,4.02,24.4,37.24,100.0,0.500483399923088,6293.915,3150,0,0,9.72,3.24,10.63,17.11,26.65,0,100.0,0,100.0,13.06,76.92,2.94,7.09,0,0,27,0,0.16,3.62,2.73,100.0,40560.6717226436,64.44,24.86,0,20.61,6.1,4.19,100.0,0,0.4537,100.0,15.28,4.86,5.67,6.78,1.32,7.59,13.77,59.53,100.0,100.0,0,100.0,4.25,15.08,100.0,25.45,14147,53.41,100.0,100.0,50.73,49.27,31926,100.0,100.0,0,100.0,100.0,17.44,1.75,3.58,100.0,16.9,100.0
14000US24031700817,20.05,5.1,21.67,30.75,5.72,9.27,100.0,1.46885468195219,3943.889,5793,7.43,0,6.19,0.53,2.77,0.96,11.44,7.64,100.0,1.57,100.0,16.44,65.46,9.28,8.82,0,66.81,28,23.23,0,1.86,0.19,100.0,109233.888486604,17.49,50.92,12.35,12.34,3.87,6.3,100.0,0,0.4307,100.0,5.5,0.47,1.26,1.08,1.87,33.66,44.79,75.75,100.0,100.0,19.63,100.0,2.31,4.12,100.0,0,53547,74.76,100.0,100.0,54.38,45.62,90000,4.36,100.0,0,100.0,100.0,6.08,1.17,2.06,100.0,4.78,100.0
14000US24031700816,20.66,2.16,17.64,28.21,12.78,13.66,100.0,1.14504777628313,7721.075,8841,4.89,0.27,6.21,0.71,6.94,6.68,8.09,16.93,100.0,0.53,100.0,19.27,65.88,7.84,7.02,0,41.3,31,27.86,0,10.81,0,100.0,99151.3999308676,20.45,38.84,7.74,12.44,5.78,2.04,100.0,0,0.3413,100.0,6.39,7.39,7.49,1.72,2.67,12.33,37.1,83.68,100.0,100.0,8.63,100.0,2.43,8.06,100.0,0,33642,51.3,100.0,100.0,50.31,49.69,85145,32.6,100.0,0.24,100.0,100.0,1.11,0.12,1.76,100.0,1.0,100.0
14000US24031700811,9.31,2.4,36.02,15.09,10.32,24.72,100.0,0.583328957508683,7870.345,4591,2.14,0,20.02,6.84,8.84,5.0,18.31,21.96,100.0,0,100.0,10.34,73.9,6.53,9.22,0,19.8,37,8.82,0.54,11.59,0.22,100.0,89025.9749303621,25.77,45.04,1.32,10.62,6.23,8.02,100.0,0.65,0.2995,100.0,9.4,6.0,5.53,3.0,2.46,11.49,17.52,84.8,100.0,100.0,3.46,100.0,3.07,10.22,100.0,0,28898,26.25,100.0,100.0,51.69,48.31,85552,54.12,100.0,1.53,100.0,100.0,3.69,0.04,2.58,100.0,0,100.0
14000US24031700810,18.23,3.25,23.97,26.3,6.1,15.38,100.0,1.36069124644593,3796.6,5166,6.77,0,11.63,2.18,5.17,3.56,27.51,22.45,100.0,0,100.0,24.07,56.83,11.52,7.58,0,36.34,37,11.21,0,4.3,0,100.0,108323.687350835,26.58,51.22,10.14,6.04,7.86,6.7,100.0,0,0.3505,100.0,21.3,4.78,2.99,4.25,1.99,20.86,32.15,79.85,100.0,100.0,3.84,100.0,3.21,7.23,100.0,0,36201,14.44,100.0,100.0,50.31,49.69,98362,37.37,100.0,0.42,100.0,100.0,6.21,0.54,5.19,100.0,2.57,100.0
