Gid,SE_T025_006,SE_T025_007,SE_T025_004,SE_T025_005,SE_T025_002,SE_T025_003,SE_T025_001,SE_T002_003,SE_T002_002,SE_T002_001,SE_T025_008,SE_T050_011,SE_T050_010,SE_T050_013,SE_T050_012,SE_T050_014,SE_T078_002,SE_T139_067,SE_T182_001,SE_T139_122,SE_T053_001,SE_T053_003,SE_T053_002,SE_T053_005,SE_T053_004,SE_T053_006,SE_T139_034,SE_T147_001,SE_T013_005,SE_T013_004,SE_T013_007,SE_T013_006,SE_T013_001,SE_T059_001,SE_T013_003,SE_T013_002,SE_T056_017,SE_T145_002,SE_T007_002,SE_T013_008,SE_T007_001,SE_T139_085,SE_T157_001,SE_T081_001,SE_T081_002,SE_T050_006,SE_T050_007,SE_T050_004,SE_T050_005,SE_T050_002,SE_T050_003,SE_T108_002,SE_T050_001,SE_T005_001,SE_T139_002,SE_T145_001,SE_T050_008,SE_T050_009,SE_T030_001,SE_T030_002,SE_T083_001,SE_T094_003,SE_T004_001,SE_T080_001,SE_T004_003,SE_T004_002,SE_T057_001,SE_T139_091,SE_T094_001,SE_T182_007,SE_T108_001,SE_T139_001,SE_T182_002,SE_T007_013,SE_T080_002,SE_T056_001,SE_T056_002,SE_T078_001
14000US23011018000,5.64,2.26,33.54,11.88,5.19,39.97,100.0,44.2616598995825,97.44325,4313,1.51,1.21,17.21,7.5,9.97,7.28,27.7,0,100.0,100.0,100.0,19.86,57.23,11.28,11.64,0,0,29,0,0.56,0,0.39,100.0,65428.4044418469,0.32,97.12,3.21,12.09,6.7,1.6,100.0,0,0.3734,100.0,21.27,4.04,4.27,4.76,1.48,13.25,19.68,64.48,100.0,100.0,0,100.0,3.77,5.57,100.0,0,26427,23.32,100.0,100.0,47.74,52.26,54736,0,100.0,2.92,100.0,100.0,2.98,1.11,1.75,100.0,3.62,100.0
14000US36005021301,2.65,0.74,30.78,11.49,26.51,25.63,100.0,0.0252499239378715,45425.88,1147,2.21,0,13.06,1.63,4.49,3.27,10.92,4.85,100.0,0,100.0,25.1,66.73,2.24,5.92,0,0,33,0,0,65.82,0,100.0,40438.4279475983,18.05,14.91,3.49,6.63,10.29,1.22,100.0,0,0.528,100.0,5.24,10.61,11.63,10.41,5.51,4.08,13.47,100.0,100.0,100.0,0,100.0,7.35,14.49,100.0,9.84,16574,88.43,100.0,100.0,61.81,38.19,16420,95.15,100.0,0,100.0,100.0,64.19,0.44,10.26,100.0,17.03,100.0
14000US17163503903,18.9,3.48,29.02,25.86,4.0,17.95,100.0,27.2556938487746,143.8965,3922,0.8,1.06,9.81,6.85,7.68,4.49,26.84,0,100.0,0,100.0,25.34,53.81,13.94,6.91,0,85.48,23,3.34,0,0.99,0,100.0,118462.036306235,8.67,83.83,14.13,3.35,6.63,3.16,100.0,0,0.3585,100.0,31.33,4.37,0.71,0.35,2.19,23.98,21.97,72.2,100.0,100.0,8.06,100.0,1.89,14.65,100.0,0,39521,13.97,100.0,100.0,51.4,48.6,108125,6.45,100.0,2.21,100.0,100.0,1.66,0.99,1.26,100.0,1.97,100.0
14000US06037228600,0.87,0,8.06,4.1,65.09,21.88,100.0,0.203461560439662,24550.09,4995,0,0,9.83,26.32,9.46,16.26,15.05,0,100.0,0,100.0,2.71,83.79,3.08,10.43,0,0,38,0.12,1.38,58.38,2.38,100.0,39519.1909689558,6.21,26.47,0,35.4,6.67,5.07,100.0,0,0.4125,100.0,2.16,8.64,8.59,1.42,2.16,1.52,4.0,58.52,100.0,100.0,0,100.0,5.24,6.57,100.0,6.2,9689,83.44,100.0,100.0,52.47,47.53,33594,100.0,100.0,0.94,100.0,100.0,24.65,0,7.43,100.0,11.85,100.0
14000US17163503906,10.17,0.96,35.18,19.55,7.51,24.45,100.0,46.1548763932497,115.5891,5335,2.18,0,12.78,3.73,7.54,6.81,33.12,0,100.0,0,100.0,12.27,67.96,13.4,6.37,0,32.14,28,0.67,0,0.36,0,100.0,86001.5554440542,1.95,96.1,5.17,2.21,5.98,0.92,100.0,0,0.3621,100.0,29.05,4.17,1.57,0.66,1.72,17.69,27.61,56.94,100.0,100.0,32.14,100.0,0.48,15.23,100.0,0,33343,10.74,100.0,100.0,49.3,50.7,74979,35.71,100.0,0.65,100.0,100.0,1.2,4.8,0.65,100.0,0.6,100.0
14000US28117950100,2.86,0.69,26.52,5.64,29.96,34.33,100.0,130.560975572088,47.80142,6241,0,0.49,13.09,11.61,12.11,14.94,40.19,0,100.0,0,100.0,8.78,66.64,5.13,19.45,0,0,29,0,0,0,0,100.0,46526.5565438374,5.16,94.84,1.57,13.9,4.89,0,100.0,0,0.4338,100.0,25.67,4.31,3.2,1.93,0,7.47,15.31,37.16,100.0,100.0,100.0,100.0,5.17,10.38,100.0,11.49,18235,24.65,100.0,100.0,45.62,54.38,37125,0,100.0,2.16,100.0,100.0,5.59,2.48,1.78,100.0,7.62,100.0
14000US17163503904,12.24,1.22,39.37,23.48,3.04,20.22,100.0,20.637649286406,500.3961,10327,0.43,0.48,12.37,5.16,5.8,7.62,20.39,15.35,100.0,3.95,100.0,31.51,57.41,3.8,7.28,0,52.56,20,2.85,0,1.25,0,100.0,108312.355555556,17.22,73.57,9.01,1.77,9.57,5.11,100.0,0,0.4996,100.0,25.63,3.71,0.75,0.91,5.03,15.3,26.47,72.94,100.0,100.0,12.09,100.0,4.5,11.91,100.0,0,36722,41.87,100.0,100.0,46.49,53.51,73507,16.05,100.0,1.1,100.0,100.0,2.4,0.87,0.41,100.0,5.07,100.0
14000US17163503905,9.07,2.59,42.25,19.57,3.84,22.21,100.0,4.63306741189535,623.1293,2887,0.46,0,13.35,6.46,11.37,4.43,26.4,0,100.0,0,100.0,13.17,72.95,4.43,9.46,0,25.0,26,0,0.24,0,0,100.0,86898.3753046304,0,98.44,6.66,1.91,3.78,1.32,100.0,0,0.4031,100.0,24.37,2.09,2.75,3.35,1.44,18.19,25.97,52.87,100.0,100.0,75.0,100.0,3.89,6.7,100.0,0,37842,15.19,100.0,100.0,47.77,52.23,69044,0,100.0,4.71,100.0,100.0,4.14,1.0,1.3,100.0,4.31,100.0
14000US34007609204,3.53,1.56,33.18,11.61,10.34,39.58,100.0,1.31199951505567,2913.111,3822,0.21,0,10.56,3.74,6.82,10.17,42.38,0,100.0,0,100.0,14.63,65.35,13.32,6.69,0,0,37,0,0.39,7.38,0,100.0,60622.1798780488,69.54,15.28,0.53,7.4,5.81,7.4,100.0,0,0.4353,100.0,27.74,8.66,4.79,6.69,1.18,2.69,26.64,77.04,100.0,100.0,0,100.0,5.38,12.66,100.0,0,22849,31.94,100.0,100.0,55.73,44.27,43362,100.0,100.0,1.83,100.0,100.0,9.22,2.33,4.8,100.0,2.36,100.0
14000US34007609205,8.88,1.16,23.04,18.28,10.4,37.98,100.0,24.2932461463142,267.029,6487,0.26,0,12.42,3.69,15.64,6.42,26.75,3.64,100.0,1.48,100.0,15.15,71.03,6.7,7.12,0,5.4,34,0.85,0.18,13.8,0,100.0,101866.00877193,13.33,69.05,9.21,3.96,6.06,2.79,100.0,0,0.3807,100.0,20.26,1.97,1.95,3.64,2.73,15.77,19.64,81.03,100.0,100.0,23.89,100.0,2.16,13.98,100.0,0,38438,16.05,100.0,100.0,48.13,51.87,90938,65.59,100.0,2.46,100.0,100.0,3.64,1.14,1.14,100.0,6.14,100.0
14000US34007609202,7.62,1.31,37.6,17.15,10.31,26.02,100.0,1.34236452060782,3705.402,4974,0,0,18.63,4.28,5.34,9.22,26.58,22.96,100.0,2.59,100.0,19.6,61.76,13.3,3.76,1.58,37.78,38,2.29,0,0.76,0,100.0,83879.854368932,66.53,21.97,6.25,4.38,7.92,8.44,100.0,0,0.3837,100.0,21.06,2.51,2.34,4.49,0.81,16.61,19.08,80.07,100.0,100.0,0,100.0,4.97,11.72,100.0,0,28862,30.58,100.0,100.0,50.99,49.01,70741,36.67,100.0,0.67,100.0,100.0,6.25,0.44,6.07,100.0,7.89,100.0
14000US34007609203,8.64,1.64,35.28,25.97,2.15,25.29,100.0,7.29181756826673,1297.07,9458,1.02,0,13.55,4.22,5.36,5.11,26.38,27.44,100.0,3.66,100.0,19.66,64.73,11.13,4.49,0,28.96,38,6.38,0,3.75,0,100.0,110738.821603928,36.96,46.58,6.35,4.31,5.7,6.32,100.0,0,0.3937,100.0,19.48,2.92,2.5,0.96,2.55,21.6,31.35,83.35,100.0,100.0,4.5,100.0,1.0,8.87,100.0,0,36573,16.63,100.0,100.0,49.82,50.18,90836,35.44,100.0,1.77,100.0,100.0,3.24,1.13,2.16,100.0,1.08,100.0
14000US06001420200,21.34,4.08,19.51,30.53,2.16,7.5,100.0,0.178836349820926,18642.74,3334,14.87,0,9.24,2.68,3.46,2.92,18.15,9.87,100.0,1.95,100.0,16.63,47.74,17.04,18.59,0,63.51,32,24.63,0.24,4.77,1.38,100.0,105306.290322581,6.54,53.72,11.29,6.66,8.4,8.73,100.0,1.17,0.4089,100.0,12.66,5.13,0.6,1.67,0,17.82,46.54,80.73,100.0,100.0,13.9,100.0,2.8,7.15,100.0,0,39699,58.15,100.0,100.0,53.75,46.25,89194,9.61,100.0,0.24,100.0,100.0,7.9,0.84,0.81,100.0,7.9,100.0
14000US34007609201,5.39,1.96,38.46,16.19,4.59,33.41,100.0,1.75262008935949,2564.731,4495,0,0,13.77,3.2,6.32,8.71,18.96,53.6,100.0,0,100.0,13.21,71.03,11.74,4.03,0,25.54,32,0.4,0,2.45,0,100.0,65663.94707828,39.96,54.79,0.55,10.7,6.56,2.4,100.0,0,0.4131,100.0,14.0,9.31,0.43,5.28,7.15,12.3,17.8,84.48,100.0,100.0,0,100.0,4.16,11.56,100.0,5.49,27576,32.14,100.0,100.0,54.53,45.47,55948,20.86,100.0,0.99,100.0,100.0,12.95,1.36,1.98,100.0,10.8,100.0
14000US48029191503,15.15,6.32,22.9,32.88,3.77,13.64,100.0,2.17153091056793,2337.061,5075,5.33,0.72,12.05,0.95,5.87,1.37,30.45,0,100.0,8.69,100.0,17.54,64.45,9.46,8.54,0,43.77,28,7.15,0.26,0.73,0,100.0,89780.2106186924,1.97,86.44,7.15,2.87,5.54,3.45,100.0,0,0.3574,100.0,21.46,0,1.49,0.5,0,21.17,37.34,66.21,100.0,100.0,10.0,100.0,1.68,16.86,100.0,0,41585,29.49,100.0,100.0,53.97,46.03,81219,37.54,100.0,0,100.0,100.0,0.57,1.44,0,100.0,4.52,100.0
14000US48029191506,15.91,4.0,27.15,33.08,2.76,12.98,100.0,1.45715617215215,3982.415,5803,4.11,0,7.96,2.28,8.05,1.46,24.33,8.47,100.0,2.86,100.0,13.25,69.89,4.31,12.55,0,13.57,23,2.74,0.47,0.22,0,100.0,96312.3944742901,1.26,91.18,8.48,11.32,5.58,4.14,100.0,0,0.4598,100.0,19.72,7.38,1.09,1.67,1.09,29.5,29.23,69.97,100.0,100.0,17.56,100.0,2.16,8.11,100.0,0,44314,51.96,100.0,100.0,51.47,48.53,69350,57.53,100.0,0,100.0,100.0,3.72,3.79,0,100.0,5.45,100.0
14000US26049013401,12.84,3.79,36.41,14.46,7.0,25.03,100.0,33.0203815616134,182.0391,6011,0.47,0,10.08,6.53,7.63,5.11,31.64,0,100.0,28.75,100.0,14.71,69.68,6.88,8.73,0,13.13,35,0.35,0,0,0,100.0,107403.573107663,0,99.13,12.32,1.51,3.04,0.52,100.0,0,0.3972,100.0,25.06,9.6,1.68,2.52,1.0,15.09,26.86,62.49,100.0,100.0,50.0,100.0,1.0,12.9,100.0,0,38042,7.38,100.0,100.0,53.1,46.9,90575,8.13,100.0,8.37,100.0,100.0,1.65,1.13,1.79,100.0,4.37,100.0
14000US26029000400,10.16,5.59,30.39,22.36,4.57,25.81,100.0,32.4353008585368,84.99998,2757,1.12,0.68,14.67,8.57,8.74,3.05,43.73,0,100.0,0,100.0,10.6,60.39,8.31,19.59,1.1,20.0,22,0.22,1.85,0,0,100.0,84792.7862939585,0.47,94.81,8.75,6.43,5.26,2.65,100.0,0,0.4722,100.0,27.5,2.8,5.09,3.56,2.29,8.74,21.54,55.77,100.0,100.0,46.67,100.0,2.12,18.15,100.0,0,34652,9.29,100.0,100.0,49.98,50.02,57417,33.33,100.0,2.8,100.0,100.0,2.89,3.12,1.8,100.0,3.52,100.0
14000US48029191505,20.76,12.61,19.2,33.04,1.34,8.76,100.0,0.938611684687342,2460.016,2309,4.3,0,6.39,0.55,1.28,1.0,44.54,0,100.0,8.46,100.0,11.78,53.88,9.59,24.75,0,45.38,23,3.77,1.52,0.26,0,100.0,185645.556805399,0,91.47,30.15,3.6,2.9,2.99,100.0,0,0.4147,100.0,28.8,1.55,5.84,1.1,0.64,30.87,31.87,58.8,100.0,100.0,12.69,100.0,1.19,17.72,100.0,0,72547,2.25,100.0,100.0,52.36,47.64,144408,33.46,100.0,2.36,100.0,100.0,0.56,3.81,0,100.0,1.35,100.0
14000US09003494600,12.2,2.87,30.32,20.78,5.01,28.52,100.0,2.24084590353314,1562.803,3502,0.29,0,15.64,4.72,5.43,4.01,38.71,0,100.0,4.51,100.0,14.11,68.44,9.44,8.01,0,28.38,21,5.57,0.8,3.91,0,100.0,94952.0833333333,4.51,82.92,7.73,2.63,4.94,2.28,100.0,0,0.4245,100.0,28.56,3.24,2.09,5.05,1.87,19.43,24.37,62.62,100.0,100.0,46.95,100.0,4.88,9.28,100.0,0,41335,21.98,100.0,100.0,51.11,48.89,74167,20.16,100.0,1.41,100.0,100.0,4.91,2.57,0.4,100.0,4.37,100.0
14000US36069052100,11.77,1.56,37.28,18.21,4.5,24.4,100.0,75.6667969118004,50.89418,3851,2.28,1.32,9.61,10.03,11.59,4.43,33.89,2.63,100.0,21.05,100.0,14.08,59.07,8.71,17.9,0.24,7.89,30,0.1,0.26,0,0,100.0,84184.3173431734,0.1,98.03,3.57,3.8,3.22,1.51,100.0,0,0.3811,100.0,27.18,5.32,5.84,1.79,1.6,15.92,21.34,66.69,100.0,100.0,51.75,100.0,3.3,7.91,100.0,0,36008,6.58,100.0,100.0,49.6,50.4,70400,16.67,100.0,3.81,100.0,100.0,2.46,1.87,0.37,100.0,4.49,100.0
14000US13123080200,9.07,1.43,25.53,13.83,18.83,29.82,100.0,130.718394062057,42.47298,5552,1.48,2.07,10.66,7.89,12.25,4.41,45.96,0,100.0,16.84,100.0,4.8,74.49,3.0,17.18,0.53,24.87,35,1.82,0.13,4.54,0,100.0,68356.3072893933,0.16,90.81,2.53,17.94,4.05,2.54,100.0,0,0.4196,100.0,29.99,2.33,10.26,1.63,0,17.89,13.22,46.59,100.0,100.0,8.02,100.0,0.7,16.7,100.0,7.69,28643,11.65,100.0,100.0,50.56,49.44,52721,50.27,100.0,5.19,100.0,100.0,3.49,0.29,0,100.0,5.37,100.0
14000US37067004015,10.84,1.38,27.83,27.4,7.35,23.78,100.0,5.95118008268764,726.7466,4325,1.42,0,8.92,7.15,2.45,2.14,28.83,40.32,100.0,3.95,100.0,11.01,70.35,12.16,6.47,0,12.65,24,1.6,0.86,0.92,0,100.0,73684.1854934602,10.06,86.57,3.09,4.67,7.7,0,100.0,0,0.4079,100.0,17.95,5.38,4.44,0.42,2.24,14.87,36.8,70.47,100.0,100.0,24.51,100.0,3.24,11.95,100.0,9.09,28868,30.74,100.0,100.0,49.97,50.03,61045,18.58,100.0,1.72,100.0,100.0,0.42,1.64,0.59,100.0,3.51,100.0
14000US37067004014,8.85,1.13,38.2,26.2,2.16,22.12,100.0,2.55995355963039,1068.769,2736,1.33,0,16.31,6.76,4.38,5.09,40.27,49.29,100.0,0,100.0,13.68,73.43,8.11,4.77,0,0,19,1.5,0.77,0,0,100.0,68725.4603682946,2.81,92.03,2.48,7.79,2.23,2.89,100.0,7.14,0.4077,100.0,31.55,2.55,0,1.43,1.67,25.62,19.49,71.41,100.0,100.0,43.57,100.0,4.3,12.41,100.0,3.79,31811,24.1,100.0,100.0,48.36,51.64,58346,0,100.0,1.44,100.0,100.0,5.2,1.32,0,100.0,6.89,100.0
14000US34013021400,12.69,1.54,16.02,37.81,8.17,23.18,100.0,1.94593527074257,3345.949,6511,0.59,0,13.15,1.87,4.53,1.67,36.56,18.93,100.0,0,100.0,18.86,63.69,7.71,9.74,0,38.61,33,6.22,0,0,0,100.0,124760.822249093,6.01,87.77,21.77,5.28,5.05,0,100.0,0,0.4357,100.0,23.3,1.02,0.56,0,5.35,23.45,34.5,62.98,100.0,100.0,18.93,100.0,1.28,12.63,100.0,0,49336,27.93,100.0,100.0,56.78,43.22,101509,23.54,100.0,0.73,100.0,100.0,5.36,5.54,0.69,100.0,2.1,100.0
14000US37067004011,13.42,1.02,30.31,27.08,3.88,23.33,100.0,4.18696688942188,1357.546,5684,0.97,0.94,14.56,7.84,3.53,1.47,29.35,0,100.0,0,100.0,10.64,65.5,10.71,13.16,0,23.68,21,1.09,0.32,0,0,100.0,92070.6478624945,8.3,87.86,6.88,6.42,5.95,2.43,100.0,0,0.434,100.0,26.53,1.75,5.63,1.96,1.05,23.97,20.43,72.12,100.0,100.0,54.61,100.0,2.41,14.45,100.0,0,37008,19.22,100.0,100.0,50.76,49.24,72481,21.71,100.0,2.73,100.0,100.0,0,1.2,1.28,100.0,4.19,100.0
14000US37067004010,17.38,9.07,23.57,28.37,3.36,15.5,100.0,4.67867418690743,720.9307,3373,2.76,0,14.73,3.18,4.98,1.86,25.88,0,100.0,0,100.0,9.64,64.79,15.12,10.46,0,49.1,21,5.6,0.71,1.6,0,100.0,139770.543702684,3.94,84.11,16.59,7.29,6.29,4.03,100.0,0,0.4873,100.0,15.69,3.23,0.44,1.31,1.2,16.76,40.47,67.01,100.0,100.0,39.64,100.0,3.12,8.71,100.0,0,61120,27.19,100.0,100.0,56.51,43.49,92043,11.26,100.0,1.31,100.0,100.0,2.48,0.86,0.69,100.0,0.69,100.0
14000US37067004013,6.77,4.64,26.24,27.49,11.4,20.72,100.0,2.09280660759818,1551.505,3247,2.74,0,7.06,4.68,8.18,4.09,33.01,0,100.0,0,100.0,6.25,75.69,10.11,7.96,0,27.75,18,4.9,0,4.77,0,100.0,78555.9372666169,0.74,87.0,7.24,11.36,8.75,2.59,100.0,0,0.5431,100.0,15.38,6.25,7.43,1.64,2.01,19.33,27.73,57.3,100.0,100.0,16.96,100.0,3.42,8.18,100.0,5.7,32102,37.04,100.0,100.0,48.81,51.19,42788,55.3,100.0,0.52,100.0,100.0,11.73,3.7,0,100.0,3.51,100.0
14000US31131966800,4.71,1.01,40.32,16.1,6.58,30.9,100.0,216.136760479199,13.98189,3022,0.38,0.18,16.02,5.79,12.63,5.98,30.91,0,100.0,0,100.0,12.88,59.4,10.29,17.44,0,0,32,0,0.03,0.26,0,100.0,83294.948630137,0.03,97.45,3.17,7.88,6.45,2.22,100.0,0,0.4013,100.0,13.1,4.74,1.48,1.29,1.54,20.09,17.19,66.05,100.0,100.0,100.0,100.0,2.28,10.78,100.0,6.21,32403,16.27,100.0,100.0,50.4,49.6,69868,0,100.0,6.93,100.0,100.0,1.11,1.29,0.94,100.0,3.17,100.0
14000US06099003100,2.61,0.96,27.47,9.82,29.57,29.57,100.0,59.3580881455821,71.34663,4235,0,10.28,8.56,0.79,20.62,8.7,29.29,0,100.0,0.88,100.0,8.5,67.33,13.44,9.55,1.19,14.45,29,0.97,2.41,11.48,0,100.0,60490.1545972335,0.09,85.05,5.61,13.33,8.34,0,100.0,0.26,0.4264,100.0,17.49,2.04,10.87,0,4.02,11.99,8.1,50.0,100.0,100.0,5.29,100.0,3.43,10.61,100.0,0,18356,54.6,100.0,100.0,45.88,54.12,46344,79.12,100.0,6.92,100.0,100.0,7.49,0.9,6.1,100.0,4.88,100.0
14000US48273020400,2.95,0,35.51,21.59,15.2,23.74,100.0,5.62077237423494,1211.399,6809,1.01,3.13,15.87,2.47,14.12,4.95,21.74,0,100.0,3.99,100.0,19.06,70.33,7.89,2.72,0,35.7,19,2.51,0.79,6.43,0,100.0,59373.097826087,2.32,86.84,1.9,14.42,9.06,1.1,100.0,0,0.4314,100.0,17.12,3.57,6.67,0.56,2.85,8.86,21.19,51.93,100.0,100.0,2.88,100.0,4.38,11.39,100.0,0,22384,54.7,100.0,100.0,44.69,55.31,42723,57.43,100.0,3.42,100.0,100.0,8.46,0.91,0.62,100.0,11.14,100.0
14000US09003496600,23.74,11.97,16.95,27.36,2.46,11.07,100.0,1.24339803890983,2115.171,2630,6.44,0,9.75,2.59,2.99,0.39,35.07,10.33,100.0,11.07,100.0,21.46,49.37,12.81,16.35,0,34.32,26,11.33,0,0,0,100.0,157219.522968198,4.75,80.53,25.71,3.04,4.87,3.38,100.0,0,0.4669,100.0,25.71,1.42,0.71,0.94,0.71,20.36,46.86,58.22,100.0,100.0,40.96,100.0,1.18,12.11,100.0,9.2,67899,6.54,100.0,100.0,56.27,43.73,123828,3.32,100.0,1.59,100.0,100.0,1.5,4.98,0,100.0,2.21,100.0
14000US01097001400,1.72,0,40.99,4.26,17.35,35.68,100.0,0.670944035261939,2746.876,1843,0,0,15.49,7.08,11.65,6.49,39.95,0,100.0,0,100.0,11.36,75.07,10.18,3.39,0,0,22,0,0,0,0.27,100.0,30880.3921568627,98.91,0.81,0,17.47,1.74,0,100.0,0,0.4482,100.0,20.96,4.42,6.78,8.11,2.95,0.74,17.7,40.05,100.0,100.0,0,100.0,2.21,16.37,100.0,12.82,14905,52.57,100.0,100.0,49.38,50.62,22829,0,100.0,0,100.0,0,31.0,0.65,0.25,100.0,21.2,100.0
14000US09003473800,4.59,0.55,35.32,9.91,12.29,36.42,100.0,0.708259652168273,2517.438,1783,0.92,0,14.89,7.22,4.7,4.7,30.18,0,100.0,0,100.0,13.29,64.95,12.14,9.62,0,17.05,22,5.38,0,2.24,0.39,100.0,67449.2537313433,67.19,21.7,1.82,4.6,6.51,3.08,100.0,0,0.4079,100.0,20.07,3.55,3.55,10.65,2.98,8.02,18.1,80.0,100.0,100.0,5.9,100.0,6.3,15.35,100.0,0,23925,27.86,100.0,100.0,54.12,45.88,53850,77.05,100.0,0,100.0,100.0,10.61,1.46,4.15,100.0,7.3,100.0
14000US26065006302,11.66,2.12,42.53,18.06,4.11,20.81,100.0,7.75708922203501,520.9428,4041,0.7,0,18.15,3.05,3.86,5.57,36.57,0,100.0,0,100.0,18.39,63.89,13.96,3.76,0,0,21,0.12,0.99,0,0,100.0,66501.9785189372,2.28,93.64,1.64,6.31,5.82,2.97,100.0,0,0.3751,100.0,23.4,6.0,4.81,1.95,1.76,11.01,30.44,68.42,100.0,100.0,76.92,100.0,4.76,8.62,100.0,6.13,29356,42.91,100.0,100.0,53.4,46.6,59149,23.08,100.0,0.9,100.0,100.0,2.32,1.01,1.36,100.0,3.67,100.0
14000US06097153104,3.97,0,20.24,7.37,45.38,22.77,100.0,0.660755184966108,6327.608,4181,0.26,7.53,6.55,10.96,16.04,9.68,23.55,1.97,100.0,0,100.0,3.18,89.65,2.76,4.41,0,12.99,20,9.52,4.28,32.55,0,100.0,47328.5714285714,1.75,44.46,0,17.7,7.8,7.44,100.0,0,0.3683,100.0,8.67,10.23,8.39,6.98,0,4.72,5.51,78.52,100.0,100.0,0.35,100.0,3.98,9.43,100.0,0,14031,78.23,100.0,100.0,45.13,54.87,44205,84.69,100.0,0,100.0,100.0,6.29,0.19,5.02,100.0,6.38,100.0
14000US42003472400,7.3,3.97,28.4,26.95,2.6,28.47,100.0,0.16421581876055,11375.27,1868,2.31,0.67,12.82,2.39,6.03,4.02,27.58,0,100.0,0,100.0,9.76,67.75,11.77,10.72,0,47.95,27,2.03,0,0,0,100.0,79135.6862745098,0.64,96.63,1.57,4.87,6.53,0.7,100.0,0,0.3166,100.0,16.6,7.18,1.82,2.49,2.01,17.32,31.77,63.64,100.0,100.0,52.05,100.0,2.58,8.9,100.0,0,32974,16.6,100.0,100.0,53.91,46.09,78886,0,100.0,0,100.0,100.0,5.1,1.77,0.26,100.0,3.14,100.0
14000US06065040607,6.78,2.16,41.3,12.78,16.66,19.14,100.0,8.24528067311509,1132.527,9338,1.19,0.9,14.47,3.79,10.17,8.23,18.26,5.56,100.0,0.65,100.0,13.81,68.91,5.97,11.31,0,41.84,39,17.82,0.44,23.36,0,100.0,94318.0936995153,6.05,46.64,3.55,10.52,8.36,5.7,100.0,0,0.3456,100.0,9.13,2.79,1.99,0.8,8.01,15.41,21.89,72.7,100.0,100.0,1.58,100.0,1.94,9.61,100.0,11.98,26439,38.89,100.0,100.0,48.33,51.67,81042,50.37,100.0,5.98,100.0,100.0,3.23,0.57,6.06,100.0,1.82,100.0
14000US36005004600,4.47,0,30.92,12.89,30.67,19.88,100.0,0.0522550683632511,37814.52,1976,1.18,0,11.37,0.86,2.73,16.98,28.51,0.91,100.0,6.14,100.0,18.42,73.96,2.88,4.75,0,0,37,0,0.4,13.01,0,100.0,49529.3696275072,39.78,45.14,1.15,6.63,6.88,1.67,100.0,0,0.4745,100.0,12.18,3.17,14.39,3.17,10.36,5.04,13.38,24.86,100.0,100.0,3.86,100.0,11.37,7.19,100.0,21.05,18472,75.21,100.0,100.0,51.82,48.18,40625,89.09,100.0,0.72,100.0,100.0,54.73,0,6.73,100.0,11.03,100.0
14000US51153901601,8.23,0,31.09,17.36,21.13,21.88,100.0,0.868537614846092,4431.587,3849,0.31,0.63,9.12,4.39,9.41,4.05,24.9,3.39,100.0,0.81,100.0,11.99,81.67,3.46,2.88,0,31.18,46,9.95,0,1.66,0,100.0,86813.2389675271,8.03,74.51,6.58,11.93,7.64,5.85,100.0,0.65,0.3342,100.0,19.32,5.7,13.65,0,0,13.8,23.89,75.08,100.0,100.0,1.29,100.0,4.34,11.02,100.0,0,29144,23.48,100.0,100.0,45.47,54.53,78263,62.68,100.0,2.16,100.0,100.0,5.41,1.14,1.17,100.0,3.66,100.0
14000US51153901602,12.89,0.82,31.25,17.87,16.21,19.59,100.0,1.86358894326924,4277.231,7971,1.37,0,10.31,2.6,8.04,7.02,18.05,11.66,100.0,0,100.0,17.58,72.4,8.94,1.07,0,18.52,37,8.12,1.56,4.34,0,100.0,74997.1361318164,17.98,58.94,1.8,22.58,8.82,9.07,100.0,0,0.3567,100.0,11.34,12.75,2.74,4.51,3.37,11.01,23.67,80.48,100.0,100.0,5.63,100.0,1.65,12.33,100.0,0,25092,40.09,100.0,100.0,48.16,51.84,63970,64.2,100.0,3.1,100.0,100.0,5.3,0.45,2.51,100.0,2.86,100.0
14000US17187870300,2.32,0,39.58,17.39,5.88,34.73,100.0,189.08848071883,14.88721,2815,0.1,1.87,9.84,6.95,8.82,9.45,40.88,100.0,100.0,0,100.0,10.46,59.72,12.65,17.17,0,0,21,0,0,0,0,100.0,69659.7898758357,0.75,96.77,2.39,6.36,5.79,2.49,100.0,0,0.3733,100.0,22.25,5.0,6.56,5.62,2.5,15.93,11.94,54.95,100.0,100.0,0,100.0,6.17,9.37,100.0,4.76,25708,15.19,100.0,100.0,52.61,47.39,59784,0,100.0,3.72,100.0,100.0,1.53,3.77,0.19,100.0,2.39,100.0
14000US26163510700,1.77,0,21.08,3.97,37.75,35.43,100.0,0.218980937363416,8251.859,1807,0,0,12.86,9.09,6.21,5.99,15.97,6.3,100.0,0,100.0,2.0,76.94,10.42,7.32,3.33,91.34,21,0,0,0,0,100.0,24786.3445378151,30.71,62.42,0,22.52,11.4,6.86,100.0,0,0.4435,100.0,9.66,19.73,7.32,14.86,0,7.76,3.77,9.93,100.0,100.0,2.36,100.0,0,12.42,100.0,0,7151,68.28,100.0,100.0,48.26,51.74,15357,0,100.0,0,100.0,100.0,29.2,0.33,3.99,100.0,16.81,100.0
